Category: All categories

Region,trans: (2020)
Vermont,100
Oregon,96
West Virginia,95
Indiana,92
Michigan,92
Illinois,91
Pennsylvania,89
Washington,89
Oklahoma,88
California,88
Kentucky,86
Virginia,85
Missouri,85
Tennessee,84
Utah,84
Maryland,84
Arkansas,83
Wisconsin,82
Arizona,82
Massachusetts,82
North Dakota,81
Nevada,81
Texas,80
Ohio,80
Kansas,80
Alaska,80
Mississippi,79
New Jersey,79
Iowa,78
Colorado,78
North Carolina,78
Louisiana,76
Alabama,76
New York,75
Georgia,75
New Hampshire,75
Connecticut,75
Nebraska,75
Wyoming,75
South Carolina,75
District of Columbia,75
Minnesota,74
New Mexico,74
South Dakota,73
Florida,72
Rhode Island,72
Maine,72
Delaware,71
Hawaii,71
Montana,71
Idaho,69
