Category: All categories

Region,trans: (2010)
Wyoming,100
West Virginia,90
Kansas,82
Iowa,82
North Dakota,80
Michigan,79
Nevada,78
Ohio,77
Oklahoma,77
Pennsylvania,75
Mississippi,75
Nebraska,73
Wisconsin,73
Illinois,73
Indiana,73
South Dakota,72
Arkansas,71
Georgia,71
Kentucky,71
Tennessee,70
Maine,70
Missouri,69
Alaska,68
New Mexico,67
South Carolina,66
New Hampshire,65
California,65
Colorado,64
Idaho,64
Texas,64
Montana,63
Alabama,63
Utah,62
New Jersey,62
Arizona,62
Rhode Island,61
Virginia,60
Florida,59
Minnesota,59
Louisiana,58
North Carolina,58
Delaware,57
Hawaii,56
Connecticut,56
Vermont,56
Maryland,56
Oregon,55
Washington,54
Massachusetts,54
District of Columbia,52
New York,52
