Category: All categories

Region,trans: (2006)
Nevada,100
Wyoming,85
Arkansas,81
Texas,80
California,79
Indiana,79
New Mexico,76
Michigan,75
Oklahoma,73
West Virginia,73
Kansas,72
Wisconsin,71
Missouri,70
Illinois,70
Mississippi,70
Iowa,69
South Dakota,69
Delaware,69
Colorado,69
Ohio,68
Minnesota,67
Pennsylvania,66
North Dakota,66
Kentucky,66
Nebraska,65
Alabama,65
Hawaii,65
Maine,64
New Hampshire,64
South Carolina,63
Tennessee,63
Montana,63
Idaho,62
Utah,62
Arizona,61
Maryland,61
New York,61
Virginia,60
Rhode Island,59
New Jersey,58
Oregon,57
North Carolina,57
District of Columbia,54
Vermont,53
Georgia,53
Connecticut,52
Massachusetts,51
Washington,51
Florida,50
Louisiana,50
Alaska,47
