Category: All categories

Region,trans: (2011)
Wyoming,100
West Virginia,94
Michigan,89
Nevada,86
Pennsylvania,84
Delaware,83
Ohio,82
Nebraska,80
Oklahoma,79
Illinois,78
Arkansas,76
Alaska,76
Wisconsin,76
South Dakota,76
Kansas,75
North Dakota,75
Texas,75
Idaho,74
Missouri,73
New Mexico,73
California,72
Mississippi,72
Indiana,71
Iowa,71
Kentucky,70
Minnesota,70
North Carolina,70
Vermont,69
Arizona,68
New Hampshire,68
Tennessee,68
Rhode Island,66
New Jersey,66
Colorado,65
Utah,65
Florida,65
Georgia,65
Alabama,64
Hawaii,64
Maine,64
South Carolina,63
Virginia,62
Washington,62
Louisiana,61
Massachusetts,59
Maryland,59
Montana,58
New York,58
Connecticut,57
Oregon,55
District of Columbia,54
