Category: All categories

Region,Obsessive compulsive personality: (2011)
New Mexico,
South Dakota,
Wyoming,
North Dakota,
New Hampshire,
Rhode Island,
Indiana,
Utah,
Alabama,
Maine,
Tennessee,
Kentucky,
Kansas,
Oklahoma,
Montana,
Maryland,100
Louisiana,
Alaska,
Michigan,92
Nebraska,
South Carolina,
Pennsylvania,84
Massachusetts,84
Idaho,
Connecticut,
Arizona,
Virginia,76
Washington,76
North Carolina,76
Illinois,69
Ohio,69
Oregon,
Missouri,
New Jersey,61
Florida,61
Georgia,53
New York,53
Texas,53
Colorado,53
District of Columbia,
California,46
Minnesota,
Iowa,
Wisconsin,
Nevada,
Arkansas,
Delaware,
Hawaii,
Mississippi,
Vermont,
West Virginia,
