Category: All categories

Region,Obsessive compulsive personality: (2012)
South Dakota,
Mississippi,
Idaho,
North Dakota,
West Virginia,
Maine,
Montana,
Arkansas,
Rhode Island,
New Hampshire,
Nebraska,
Alabama,
Kentucky,
Indiana,
Oregon,
Pennsylvania,100
Nevada,
Arizona,
Ohio,90
Wisconsin,
Minnesota,
North Carolina,80
New Jersey,80
Utah,
Washington,80
Massachusetts,70
Florida,70
Virginia,70
New York,70
California,60
Illinois,60
Georgia,60
Kansas,
Maryland,60
Louisiana,
Oklahoma,
Michigan,60
New Mexico,
Texas,50
Colorado,50
South Carolina,
District of Columbia,
Iowa,
Connecticut,
Tennessee,
Alaska,
Delaware,
Hawaii,
Missouri,
Vermont,
Wyoming,
