Category: All categories

Region,Obsessive compulsive personality: (2014)
North Dakota,
Idaho,
Delaware,
West Virginia,
New Mexico,
Rhode Island,
Michigan,100
Maine,
Indiana,
North Carolina,81
Minnesota,
Ohio,81
Pennsylvania,72
Illinois,72
Kentucky,
Washington,72
Georgia,63
Maryland,63
Tennessee,
Missouri,
Utah,
New Jersey,63
Iowa,
Arkansas,
Hawaii,
Oklahoma,
Wisconsin,
California,54
Arizona,
Texas,54
Massachusetts,54
Connecticut,
New York,54
Florida,54
Nevada,
South Carolina,
Oregon,
Kansas,
Louisiana,
Alabama,
Colorado,45
District of Columbia,
Virginia,36
Nebraska,
Alaska,
Mississippi,
Montana,
New Hampshire,
South Dakota,
Vermont,
Wyoming,
