Category: All categories

Region,marijuana: (2020)
Oklahoma,100
Maine,80
Michigan,68
Vermont,56
Pennsylvania,56
Arkansas,55
Missouri,54
Arizona,53
Colorado,53
Nevada,51
Montana,51
Massachusetts,50
Oregon,50
Illinois,50
New Mexico,45
Alaska,43
Washington,43
Rhode Island,42
New Hampshire,41
Ohio,41
Florida,40
Indiana,40
South Dakota,39
Connecticut,38
North Dakota,36
Maryland,36
Kentucky,36
California,35
West Virginia,34
New Jersey,34
Delaware,33
Wyoming,32
Hawaii,32
Utah,32
Mississippi,31
Iowa,31
Virginia,30
Kansas,30
District of Columbia,30
Nebraska,29
Minnesota,29
Wisconsin,28
Tennessee,28
New York,28
Louisiana,28
Alabama,26
Texas,26
Idaho,26
North Carolina,25
Georgia,23
South Carolina,23
