Category: All categories

Region,marijuana: (2008)
Montana,100
Maine,95
Vermont,92
Hawaii,91
Alaska,86
Rhode Island,83
New Hampshire,78
Colorado,77
Oregon,77
New Mexico,74
West Virginia,74
Michigan,72
Washington,71
Nevada,70
California,69
Delaware,69
Kentucky,69
Wyoming,67
Arkansas,67
North Dakota,65
Pennsylvania,65
Massachusetts,64
Mississippi,64
South Dakota,64
Kansas,63
Indiana,62
Texas,62
Idaho,61
Connecticut,61
Ohio,60
New York,60
Missouri,59
Nebraska,59
Florida,58
South Carolina,57
Louisiana,55
Oklahoma,55
New Jersey,55
North Carolina,55
Illinois,55
Alabama,54
Iowa,54
Georgia,53
Arizona,53
Wisconsin,53
Minnesota,50
Tennessee,50
Maryland,48
District of Columbia,47
Utah,44
Virginia,37
