Category: All categories

Region,parents hate me: (2020)
Wyoming,
North Dakota,
District of Columbia,
Maine,
Vermont,
Nebraska,
Hawaii,
Alaska,
Nevada,
Delaware,
Connecticut,
Maryland,
New Jersey,
California,100
Wisconsin,
Indiana,
Utah,
Minnesota,
Arizona,
Michigan,
Texas,75
West Virginia,
Oklahoma,
Kentucky,
Ohio,
North Carolina,
Georgia,
New Hampshire,
Alabama,
Florida,75
New York,75
Massachusetts,
Washington,
Mississippi,
Illinois,50
Oregon,
New Mexico,
Pennsylvania,
South Carolina,
Virginia,
Idaho,
Arkansas,
Colorado,
Kansas,
Louisiana,
Missouri,
Iowa,
Tennessee,
Montana,
Rhode Island,
South Dakota,
