Category: All categories

Region,parents hate me: (2019)
Wyoming,
Iowa,
Maine,
Nebraska,
Tennessee,
Alabama,
Kansas,
Utah,
Indiana,
Montana,
Kentucky,
Nevada,
Louisiana,
Oregon,
Michigan,
Oklahoma,
Minnesota,
Hawaii,
Wisconsin,
Mississippi,
Maryland,
Pennsylvania,
Ohio,
Washington,
Arizona,
Georgia,
New Jersey,
New York,100
Illinois,100
California,100
South Carolina,
North Carolina,
Virginia,
Massachusetts,
Texas,66
Florida,66
Missouri,
Colorado,
Alaska,
Arkansas,
Connecticut,
District of Columbia,
Delaware,
Idaho,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
