Category: All categories

Region,parents hate me: (2015)
West Virginia,
New Hampshire,
Idaho,
Utah,
Mississippi,
Alaska,
Arkansas,
Montana,
New Jersey,
Rhode Island,
Kentucky,
Iowa,
Pennsylvania,
Ohio,
Washington,
Louisiana,
Wisconsin,
Nevada,
Maryland,
New Mexico,
California,100
Florida,100
Indiana,
Colorado,
Michigan,
Texas,80
Connecticut,
New York,80
Virginia,
Arizona,
Nebraska,
Georgia,
Illinois,60
Tennessee,
Massachusetts,
Oklahoma,
North Carolina,
Missouri,
Kansas,
South Carolina,
Minnesota,
Oregon,
Alabama,
District of Columbia,
Delaware,
Hawaii,
Maine,
North Dakota,
South Dakota,
Vermont,
Wyoming,
