Category: All categories

Region,parents hate me: (2018)
Wyoming,
Delaware,
Vermont,
Montana,
Hawaii,
Mississippi,
Wisconsin,
Arkansas,
Connecticut,
West Virginia,
New Jersey,
Illinois,100
Michigan,
Oklahoma,
Missouri,
Virginia,
New York,100
Colorado,
Pennsylvania,
Washington,
Idaho,
Georgia,
Nevada,
Utah,
Ohio,
Minnesota,
Arizona,
New Mexico,
Texas,75
Tennessee,
Indiana,
Massachusetts,
California,75
Florida,50
Alabama,
South Carolina,
Maryland,
North Carolina,
Louisiana,
Kentucky,
Iowa,
Oregon,
Alaska,
District of Columbia,
Kansas,
Maine,
North Dakota,
Nebraska,
New Hampshire,
Rhode Island,
South Dakota,
