Category: All categories

Region,parents hate me: (2012)
Maine,
New Hampshire,
West Virginia,
Hawaii,
Alabama,
Kansas,
Kentucky,
Alaska,
Rhode Island,
Connecticut,
Arkansas,
Idaho,
Louisiana,
Iowa,
Delaware,
Mississippi,
Pennsylvania,
South Carolina,
Michigan,
New Jersey,
Wisconsin,
Utah,
Colorado,
Oregon,
Massachusetts,
North Carolina,
Georgia,
Nebraska,
Nevada,
Oklahoma,
Ohio,
California,100
New Mexico,
Florida,83
Illinois,83
Texas,83
New York,83
Virginia,
Minnesota,
Missouri,
Arizona,
Washington,
Indiana,
Tennessee,
District of Columbia,
Maryland,
Montana,
North Dakota,
South Dakota,
Vermont,
Wyoming,
