Category: All categories

Region,parents hate me: (2016)
North Dakota,
Mississippi,
Vermont,
Oklahoma,
Indiana,
Connecticut,
Hawaii,
Kentucky,
Alabama,
Nevada,
New Jersey,
Pennsylvania,
Arizona,
Colorado,
Michigan,
California,100
Maryland,
Tennessee,
Illinois,100
Idaho,
Texas,100
Ohio,
Missouri,
West Virginia,
Massachusetts,
Virginia,
New York,75
Utah,
Arkansas,
Florida,75
District of Columbia,
South Carolina,
North Carolina,
Iowa,
Louisiana,
Georgia,
Oregon,
Washington,
Wisconsin,
Kansas,
Minnesota,
Alaska,
Delaware,
Maine,
Montana,
Nebraska,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Wyoming,
