Category: All categories

Region,parents hate me: (2021)
North Dakota,
Idaho,
Maine,
Delaware,
Nevada,
Mississippi,
New Hampshire,
Nebraska,
Rhode Island,
Kentucky,
Alabama,
Oklahoma,
South Carolina,
Michigan,
California,100
Texas,100
Maryland,
Kansas,
Missouri,
Ohio,
Georgia,
Arizona,
Indiana,
North Carolina,
Massachusetts,
Washington,
Florida,100
Pennsylvania,
Colorado,
New York,66
Hawaii,
Virginia,
Minnesota,
Connecticut,
New Jersey,
Wisconsin,
Illinois,66
Louisiana,
Utah,
Oregon,
Tennessee,
Alaska,
Arkansas,
District of Columbia,
Iowa,
Montana,
New Mexico,
South Dakota,
Vermont,
West Virginia,
Wyoming,
