Category: All categories

Region,Abusive parents: (2016)
Utah,100
Massachusetts,89
Arizona,88
Minnesota,88
Oregon,86
Virginia,85
Alabama,85
Missouri,83
Pennsylvania,82
Maryland,81
Oklahoma,76
Indiana,75
North Carolina,74
New Jersey,74
Washington,74
Iowa,73
California,72
Kentucky,70
New York,68
Connecticut,68
Illinois,67
Wisconsin,66
Florida,59
Texas,59
Ohio,59
South Carolina,56
Michigan,55
Tennessee,54
Colorado,52
Georgia,50
North Dakota,
Maine,
Rhode Island,
Montana,
Kansas,
Arkansas,
New Hampshire,
Nebraska,
Louisiana,
Idaho,
Hawaii,
District of Columbia,
New Mexico,
Mississippi,
Nevada,
Alaska,
Vermont,
South Dakota,
Delaware,
West Virginia,
Wyoming,
