Category: All categories

Region,Antisocial: (2021)
Vermont,100
Mississippi,94
Maryland,92
Connecticut,89
Arkansas,85
North Carolina,83
Louisiana,83
Georgia,82
District of Columbia,79
Rhode Island,78
Delaware,78
Nevada,78
Illinois,78
Oklahoma,77
South Dakota,77
California,77
Virginia,77
Indiana,76
New Hampshire,75
Alabama,74
Pennsylvania,74
South Carolina,74
New Jersey,72
Utah,72
Michigan,71
Wisconsin,71
Hawaii,71
Arizona,70
Iowa,70
Missouri,69
Minnesota,69
Florida,69
Kansas,69
Nebraska,68
Massachusetts,68
Ohio,68
North Dakota,67
Washington,67
Texas,65
Tennessee,65
Wyoming,64
New Mexico,62
Montana,62
New York,62
Oregon,61
Kentucky,61
Colorado,59
Idaho,58
Alaska,56
West Virginia,55
Maine,54
