Category: All categories

Region,Antisocial: (2013)
North Dakota,100
New Mexico,81
Delaware,80
Maine,79
Wyoming,76
Indiana,75
Alaska,69
Pennsylvania,68
Hawaii,67
Iowa,66
Alabama,65
Mississippi,65
Wisconsin,64
Michigan,63
Ohio,63
Kansas,63
Connecticut,63
Arkansas,63
Maryland,62
West Virginia,62
Louisiana,61
Missouri,61
Massachusetts,60
New Hampshire,60
New Jersey,59
Arizona,59
Florida,58
Oklahoma,58
Nebraska,58
Minnesota,58
Rhode Island,57
North Carolina,57
Montana,56
Tennessee,55
Utah,55
Kentucky,54
Colorado,53
Illinois,53
Idaho,53
South Carolina,53
New York,51
South Dakota,51
Virginia,50
Nevada,50
Washington,50
Georgia,50
Oregon,49
Texas,48
California,46
Vermont,46
District of Columbia,33
