Category: All categories

Region,Antisocial: (2011)
Wyoming,100
West Virginia,88
North Dakota,87
Mississippi,86
Arkansas,83
Hawaii,79
New Hampshire,77
Utah,76
Nebraska,76
Maine,75
Rhode Island,73
Alabama,73
Indiana,70
Maryland,70
Louisiana,69
Missouri,69
Nevada,68
Wisconsin,68
Kentucky,67
Connecticut,67
South Carolina,67
Iowa,66
Oklahoma,65
Florida,64
Kansas,63
Virginia,61
Michigan,61
Delaware,61
Ohio,61
Oregon,61
North Carolina,60
Georgia,60
Pennsylvania,60
Tennessee,59
Colorado,59
Washington,57
Massachusetts,57
Illinois,57
South Dakota,57
Arizona,56
New Mexico,55
New Jersey,54
Idaho,51
Minnesota,51
Alaska,51
Texas,47
New York,47
California,47
District of Columbia,46
Vermont,45
Montana,32
