Category: All categories

Region,Antisocial: (2005)
South Dakota,100
Vermont,75
West Virginia,50
Alaska,46
North Dakota,40
Louisiana,36
New Hampshire,35
New Mexico,33
Kentucky,29
Colorado,29
Rhode Island,27
Indiana,27
Arizona,24
Washington,23
Nebraska,23
Iowa,23
Tennessee,23
Minnesota,22
Maine,22
Idaho,22
Illinois,22
Connecticut,21
Pennsylvania,20
Ohio,19
Maryland,19
Michigan,18
Florida,18
Kansas,18
Wisconsin,18
Arkansas,17
Nevada,16
New York,16
Virginia,16
South Carolina,15
Missouri,15
North Carolina,15
Texas,15
Hawaii,14
Oregon,14
New Jersey,13
California,13
Georgia,12
Massachusetts,12
Oklahoma,10
Utah,8
District of Columbia,4
Alabama,
Delaware,
Mississippi,
Montana,
Wyoming,
