Category: All categories

Region,Antisocial: (2015)
Mississippi,100
New Hampshire,98
Delaware,90
Maine,86
Wyoming,83
Maryland,74
Alaska,74
Idaho,73
Alabama,73
Rhode Island,72
Arkansas,72
Indiana,72
Utah,71
Nebraska,70
Connecticut,70
Iowa,70
Ohio,68
Kentucky,67
North Carolina,66
Nevada,65
Florida,64
South Carolina,63
North Dakota,63
Minnesota,62
Georgia,62
Massachusetts,62
South Dakota,62
Pennsylvania,62
Missouri,62
Louisiana,62
New Jersey,62
Michigan,61
Wisconsin,61
Illinois,59
Arizona,59
New Mexico,58
West Virginia,58
Colorado,57
Kansas,57
Hawaii,57
New York,57
Oklahoma,56
Washington,56
Oregon,56
California,55
Vermont,53
Texas,51
District of Columbia,51
Tennessee,49
Virginia,43
Montana,41
