Category: All categories

Region,Antisocial: (2010)
Alabama,100
Mississippi,90
North Dakota,80
Delaware,80
Wisconsin,78
Wyoming,76
Nebraska,75
South Carolina,75
Iowa,73
Rhode Island,71
Ohio,71
North Carolina,71
Indiana,70
Pennsylvania,70
Arizona,69
Georgia,68
Florida,68
Utah,68
Tennessee,68
Hawaii,67
Missouri,66
South Dakota,65
Illinois,62
Louisiana,61
New Hampshire,61
West Virginia,59
Massachusetts,59
Oregon,59
Idaho,58
Maine,56
Kentucky,56
District of Columbia,56
Vermont,56
New Mexico,56
Arkansas,56
Connecticut,55
Minnesota,54
Maryland,54
Michigan,51
New Jersey,50
Oklahoma,49
Washington,49
New York,49
Montana,46
Nevada,46
Texas,46
Colorado,46
Alaska,44
Virginia,38
California,34
Kansas,32
