Category: All categories

Region,Antisocial: (2008)
Delaware,100
North Dakota,84
Kentucky,79
Wyoming,74
Alabama,68
New Hampshire,65
Nebraska,63
Indiana,63
Maryland,62
Maine,61
North Carolina,59
Alaska,59
Illinois,58
Hawaii,57
Iowa,56
Ohio,54
Wisconsin,53
Utah,53
Michigan,52
Tennessee,50
Pennsylvania,50
West Virginia,49
Montana,48
South Carolina,48
Rhode Island,48
Florida,47
Oklahoma,46
Connecticut,46
Mississippi,45
New York,45
Idaho,45
Washington,45
Georgia,45
Missouri,44
Virginia,43
Arizona,43
Massachusetts,42
New Jersey,42
Colorado,41
District of Columbia,39
Minnesota,39
Nevada,39
Texas,39
Louisiana,38
Oregon,36
California,35
New Mexico,33
South Dakota,26
Kansas,23
Arkansas,20
Vermont,
