Category: All categories

Region,Antisocial: (2019)
West Virginia,100
Rhode Island,96
Arkansas,92
Mississippi,90
California,88
Maryland,88
Connecticut,86
Delaware,84
New Mexico,84
Louisiana,81
Missouri,81
North Carolina,80
Nevada,80
Maine,78
Kansas,78
Iowa,78
Massachusetts,78
Hawaii,78
Minnesota,77
Georgia,77
Pennsylvania,77
North Dakota,76
Illinois,76
Indiana,76
Wisconsin,73
Arizona,73
Utah,73
Alaska,73
Montana,72
Michigan,72
Virginia,71
South Carolina,71
Ohio,71
New Jersey,71
Alabama,71
Washington,70
Vermont,69
Nebraska,69
Oregon,69
New Hampshire,69
Tennessee,68
Florida,68
Kentucky,66
District of Columbia,65
Idaho,64
South Dakota,64
Colorado,63
Oklahoma,63
Texas,62
New York,62
Wyoming,42
