Category: All categories

Region,Antisocial: (2012)
Wyoming,100
West Virginia,70
Alaska,65
Mississippi,64
Alabama,61
Connecticut,60
Wisconsin,59
Indiana,58
Idaho,57
Rhode Island,57
New Mexico,56
Arkansas,56
Iowa,55
Pennsylvania,55
Maryland,55
Louisiana,54
North Carolina,54
Maine,53
Nevada,52
Oregon,51
Utah,51
South Dakota,51
District of Columbia,51
Minnesota,51
Nebraska,50
Florida,49
New Jersey,49
Michigan,48
Delaware,48
Kansas,48
Ohio,48
New Hampshire,48
Illinois,48
New York,48
Washington,48
Arizona,47
Kentucky,47
Massachusetts,47
South Carolina,46
Virginia,46
Vermont,45
Georgia,45
Oklahoma,45
Colorado,45
Missouri,45
Texas,44
Montana,44
Tennessee,43
California,41
Hawaii,40
North Dakota,39
