Category: All categories

Region,Antisocial: (2017)
Vermont,100
New Mexico,94
California,93
Mississippi,90
Nevada,89
Indiana,87
Wyoming,86
Massachusetts,83
Hawaii,82
Arkansas,82
Rhode Island,80
Iowa,79
Maryland,78
Connecticut,78
Pennsylvania,77
Washington,77
Illinois,76
Maine,75
Alaska,75
Delaware,75
Idaho,75
New Jersey,75
Oregon,74
Wisconsin,74
South Carolina,73
New Hampshire,73
Georgia,73
Utah,73
Arizona,73
Louisiana,72
North Carolina,71
Ohio,71
Michigan,71
Missouri,70
Minnesota,70
New York,70
Colorado,69
Kentucky,69
Virginia,69
Kansas,67
Florida,66
Nebraska,63
South Dakota,63
North Dakota,62
Tennessee,62
West Virginia,61
District of Columbia,60
Alabama,60
Texas,58
Oklahoma,56
Montana,50
