Category: All categories

Region,Suicide hotline: (2012)
Idaho,100
Montana,82
Arkansas,67
Oregon,66
Washington,65
Hawaii,62
Colorado,62
Nevada,62
Nebraska,60
Maryland,60
Indiana,59
Kansas,59
South Dakota,58
Missouri,58
Wyoming,57
Rhode Island,57
Ohio,57
Michigan,57
Pennsylvania,56
Kentucky,56
Utah,55
Arizona,55
Massachusetts,55
Iowa,55
Maine,54
California,54
Illinois,54
Virginia,53
Delaware,52
Tennessee,52
Connecticut,52
District of Columbia,51
New Mexico,51
New Jersey,50
Georgia,50
Alabama,50
North Dakota,49
Minnesota,49
North Carolina,49
New York,48
Wisconsin,46
Florida,46
Texas,46
New Hampshire,46
Oklahoma,44
Alaska,42
Vermont,41
South Carolina,41
Mississippi,39
Louisiana,34
West Virginia,31
