Category: All categories

Region,Suicide hotline: (2019)
Alaska,100
Idaho,93
Oregon,92
Utah,88
Montana,85
New Mexico,82
North Dakota,79
West Virginia,77
Oklahoma,75
Nevada,74
Nebraska,74
Colorado,73
Kansas,73
Missouri,71
Indiana,71
Wisconsin,71
Arizona,70
Maine,70
Iowa,70
Hawaii,70
Michigan,69
New Hampshire,69
Washington,68
Minnesota,68
California,67
Ohio,65
Arkansas,65
Maryland,65
Virginia,65
District of Columbia,64
Pennsylvania,64
Wyoming,63
Tennessee,63
Delaware,62
South Dakota,62
Illinois,62
Kentucky,61
Louisiana,56
Alabama,56
Vermont,55
Mississippi,55
Connecticut,54
North Carolina,53
Massachusetts,53
Texas,53
Georgia,50
South Carolina,50
Florida,48
New Jersey,48
New York,44
Rhode Island,43
