Category: All categories

Region,Suicide hotline: (2005)
Mississippi,100
Nebraska,61
North Dakota,51
South Dakota,47
Indiana,44
Montana,36
Vermont,29
Louisiana,26
Hawaii,24
New Hampshire,24
Iowa,24
Maine,22
Arkansas,21
Oregon,20
Tennessee,20
Maryland,18
Colorado,16
Texas,16
New York,16
Illinois,16
California,16
Ohio,15
Pennsylvania,15
Minnesota,14
Georgia,12
Michigan,11
Virginia,10
Missouri,10
Massachusetts,10
Arizona,9
Florida,9
North Carolina,6
Washington,6
Wisconsin,6
New Jersey,6
Alaska,
Oklahoma,
Nevada,
New Mexico,
Rhode Island,
South Carolina,
Kentucky,
Kansas,
Idaho,
Utah,
Delaware,
District of Columbia,
Connecticut,
Alabama,
West Virginia,
Wyoming,
