Category: All categories

Region,Suicide hotline: (2020)
Idaho,100
Wyoming,94
Utah,86
Montana,83
Alaska,79
Oregon,77
Nebraska,73
Kansas,72
Maine,71
Washington,70
Oklahoma,69
New Mexico,67
North Dakota,65
South Dakota,65
Nevada,64
Hawaii,64
Missouri,64
Colorado,64
Indiana,63
Maryland,62
West Virginia,62
Iowa,62
New Hampshire,61
Michigan,60
Ohio,59
Arizona,59
California,59
Rhode Island,58
Wisconsin,58
Virginia,58
Arkansas,57
Kentucky,56
Minnesota,56
Illinois,55
District of Columbia,55
Tennessee,55
Alabama,54
Pennsylvania,53
North Carolina,51
Delaware,51
South Carolina,49
Massachusetts,49
Connecticut,47
Vermont,46
Louisiana,46
Texas,45
Georgia,45
Mississippi,43
Florida,42
New Jersey,42
New York,39
