Category: All categories

Region,hell: (2019)
Indiana,100
West Virginia,99
Kentucky,95
Kansas,92
Oklahoma,92
Arkansas,92
Tennessee,91
Wyoming,90
Montana,90
Missouri,89
Mississippi,89
Alaska,88
Ohio,88
Utah,87
Alabama,85
Michigan,84
North Dakota,83
South Dakota,83
North Carolina,83
Vermont,82
Nebraska,82
Arizona,81
Iowa,81
Illinois,81
Texas,81
Colorado,81
Oregon,81
Minnesota,80
New Mexico,79
South Carolina,78
Wisconsin,77
Louisiana,77
Pennsylvania,77
Washington,77
Virginia,76
Georgia,75
Nevada,74
Maine,74
Maryland,72
Connecticut,71
California,71
Idaho,71
Massachusetts,70
New Hampshire,69
Delaware,67
Rhode Island,67
Florida,64
New Jersey,63
New York,62
District of Columbia,57
Hawaii,52
