Category: All categories

Region,bipolar: (2007)
Mississippi,100
West Virginia,95
South Dakota,88
Montana,88
Indiana,85
South Carolina,83
Kentucky,83
Kansas,82
Maine,82
New Mexico,82
Wyoming,82
Oklahoma,82
Louisiana,81
Tennessee,81
Alabama,80
Delaware,79
North Carolina,78
Iowa,78
Idaho,78
Connecticut,78
Arkansas,77
North Dakota,75
Nebraska,74
Missouri,73
Michigan,72
Vermont,72
Colorado,72
Maryland,69
Wisconsin,69
Alaska,69
Oregon,68
New Hampshire,67
Pennsylvania,66
Ohio,65
Massachusetts,65
Washington,65
Rhode Island,64
Georgia,63
New York,62
Utah,62
Minnesota,61
Virginia,61
Illinois,60
Texas,60
New Jersey,59
District of Columbia,59
Arizona,56
Florida,55
Nevada,55
Hawaii,53
California,52
