Category: All categories

Region,bipolar: (2012)
West Virginia,100
Mississippi,98
Delaware,95
Maine,92
Oklahoma,92
Idaho,89
Michigan,87
Alabama,87
Montana,86
Pennsylvania,86
Maryland,86
Alaska,86
Arkansas,85
Rhode Island,84
Virginia,84
New Hampshire,84
South Dakota,83
Nebraska,83
Kentucky,83
New Mexico,82
Illinois,82
Massachusetts,82
Texas,81
Louisiana,81
Tennessee,80
South Carolina,80
Ohio,80
Georgia,79
Missouri,79
Connecticut,78
North Carolina,78
New York,78
Iowa,78
Wyoming,76
Vermont,76
California,75
North Dakota,75
Indiana,74
Florida,74
New Jersey,74
Washington,74
Kansas,73
Nevada,73
Utah,72
Wisconsin,71
Oregon,71
Minnesota,69
Colorado,68
Arizona,67
Hawaii,66
District of Columbia,65
