Category: All categories

Region,bipolar: (2019)
West Virginia,100
Oregon,97
Maine,95
Vermont,90
New Hampshire,88
Massachusetts,87
Idaho,86
Kentucky,85
Rhode Island,85
Indiana,84
Tennessee,84
North Carolina,84
Maryland,83
Minnesota,82
Pennsylvania,82
Connecticut,81
Washington,80
Missouri,80
Virginia,79
Michigan,79
Arkansas,79
Texas,78
New Jersey,78
Wisconsin,78
Ohio,78
Georgia,77
Delaware,77
Illinois,76
Alabama,76
Montana,76
South Carolina,76
Nebraska,76
Mississippi,75
New York,75
Wyoming,75
Arizona,75
Colorado,73
Louisiana,73
Oklahoma,73
New Mexico,72
South Dakota,72
Kansas,71
North Dakota,70
Florida,69
Iowa,69
California,67
Utah,66
Alaska,66
Nevada,60
District of Columbia,60
Hawaii,55
