Category: All categories

Region,bipolar: (2005)
Maine,100
North Dakota,83
West Virginia,80
Indiana,80
Kentucky,79
Arkansas,79
Vermont,78
New Hampshire,77
Colorado,75
Alabama,72
Missouri,72
North Carolina,71
Connecticut,71
Montana,71
Mississippi,70
South Carolina,68
Nebraska,68
Pennsylvania,68
Oklahoma,67
Idaho,67
Louisiana,66
Wisconsin,66
Tennessee,65
Alaska,65
Maryland,65
Michigan,63
Massachusetts,63
Oregon,63
Utah,62
Ohio,62
New Mexico,62
Arizona,61
Texas,60
New Jersey,60
Minnesota,60
Florida,60
Illinois,59
Washington,59
Rhode Island,59
Georgia,59
Kansas,59
Virginia,57
District of Columbia,53
Nevada,53
Delaware,53
Iowa,53
Hawaii,53
New York,52
Wyoming,49
South Dakota,47
California,45
