Category: All categories

Region,bipolar: (2015)
West Virginia,100
Arkansas,97
Mississippi,93
Pennsylvania,87
Tennessee,86
Maine,86
Minnesota,84
New Jersey,84
Wyoming,83
North Carolina,83
Vermont,83
Idaho,82
New Hampshire,82
Ohio,82
Michigan,82
Georgia,81
Delaware,81
Alabama,81
Arizona,81
South Dakota,80
Kentucky,80
New Mexico,80
Rhode Island,79
Massachusetts,79
South Carolina,79
Nebraska,78
Louisiana,78
Wisconsin,78
Illinois,77
New York,77
Montana,77
Iowa,75
Connecticut,75
Texas,75
Maryland,75
Washington,75
Florida,75
Colorado,74
Indiana,74
Missouri,74
Utah,73
Oklahoma,73
Alaska,71
California,71
Nevada,71
District of Columbia,70
North Dakota,69
Hawaii,69
Kansas,61
Oregon,58
Virginia,57
