Category: All categories

Region,bipolar: (2021)
West Virginia,100
Vermont,98
Maine,98
Kentucky,94
New Hampshire,93
Montana,92
Idaho,90
Tennessee,90
Oregon,90
Arizona,90
Maryland,89
Rhode Island,88
Missouri,88
Massachusetts,87
Wyoming,87
Pennsylvania,87
Indiana,87
Alaska,86
Colorado,85
Ohio,85
Virginia,84
Washington,84
Michigan,84
Illinois,83
North Carolina,82
Louisiana,81
Connecticut,81
Minnesota,81
California,80
Texas,80
Utah,80
New Mexico,80
Oklahoma,80
South Dakota,80
Arkansas,79
Nebraska,79
North Dakota,79
Delaware,78
Wisconsin,78
Alabama,78
Mississippi,78
New York,77
Florida,77
Iowa,77
Georgia,75
Kansas,75
New Jersey,73
South Carolina,73
District of Columbia,70
Nevada,68
Hawaii,66
