Category: All categories

Region,Abusive parents: (2009)
Indiana,100
Utah,85
Iowa,65
New Jersey,62
Tennessee,60
Michigan,60
North Carolina,58
Missouri,56
Ohio,56
Colorado,54
Florida,54
Connecticut,51
Oklahoma,46
Texas,45
Arizona,45
New York,40
Minnesota,38
Illinois,37
South Carolina,36
Washington,36
California,33
Georgia,26
Wisconsin,23
Virginia,23
Massachusetts,18
Pennsylvania,11
Vermont,
Rhode Island,
Arkansas,
Wyoming,
Delaware,
Hawaii,
Maine,
Louisiana,
Kansas,
Nevada,
District of Columbia,
Mississippi,
Oregon,
New Mexico,
New Hampshire,
South Dakota,
Nebraska,
North Dakota,
Montana,
Maryland,
Kentucky,
Idaho,
Alabama,
West Virginia,
Alaska,
