Category: All categories

Region,Abusive parents: (2012)
Iowa,100
Minnesota,77
Arizona,71
Oklahoma,70
Alabama,69
Connecticut,66
Massachusetts,62
Washington,61
Kentucky,61
North Carolina,60
Maryland,59
Virginia,59
Pennsylvania,55
Ohio,54
California,54
New Jersey,54
Wisconsin,52
Oregon,51
Georgia,50
Illinois,47
New York,45
Florida,43
Michigan,41
Texas,39
Utah,39
Indiana,39
Colorado,39
Missouri,31
South Carolina,30
Tennessee,28
Maine,
Arkansas,
New Hampshire,
Kansas,
New Mexico,
District of Columbia,
Idaho,
Nevada,
Louisiana,
Alaska,
Rhode Island,
South Dakota,
Nebraska,
North Dakota,
Montana,
Mississippi,
Vermont,
Hawaii,
Delaware,
West Virginia,
Wyoming,
