Category: All categories

Region,jumping: (2015)
Wyoming,100
Vermont,90
Montana,89
Idaho,87
New Jersey,87
Colorado,85
Texas,85
Alaska,85
Mississippi,84
Maine,82
Georgia,82
New Hampshire,82
Wisconsin,80
Utah,79
South Carolina,78
Arizona,78
Hawaii,78
West Virginia,77
North Dakota,77
Washington,76
North Carolina,74
California,74
Arkansas,74
Tennessee,74
South Dakota,73
Ohio,72
Florida,72
Illinois,71
Massachusetts,71
Pennsylvania,71
Louisiana,71
Delaware,70
Iowa,70
Minnesota,69
Alabama,69
Nebraska,68
Michigan,68
Rhode Island,68
New York,67
Nevada,67
Oklahoma,67
Connecticut,66
Indiana,66
Kentucky,65
District of Columbia,65
New Mexico,65
Maryland,63
Missouri,62
Kansas,62
Oregon,56
Virginia,49
