Category: All categories

Region,jumping: (2021)
Hawaii,100
Idaho,93
Tennessee,92
Utah,91
Texas,91
Wyoming,90
South Carolina,90
Colorado,89
Oregon,89
Washington,88
Vermont,86
North Carolina,86
Alaska,86
Louisiana,86
Arizona,85
Georgia,83
New Mexico,82
New Hampshire,82
Maine,81
Mississippi,81
West Virginia,80
Wisconsin,80
Maryland,79
Minnesota,79
Montana,79
Illinois,78
Indiana,78
Connecticut,77
Massachusetts,77
New Jersey,77
South Dakota,76
California,76
Alabama,76
Missouri,75
Michigan,75
Virginia,74
North Dakota,74
Delaware,74
Pennsylvania,73
Nevada,73
Ohio,72
Arkansas,71
Florida,71
Kansas,70
Kentucky,70
Rhode Island,68
Nebraska,67
Oklahoma,67
New York,66
District of Columbia,65
Iowa,64
