Category: All categories

Region,jumping: (2013)
Montana,100
Wyoming,91
Colorado,90
Vermont,86
Idaho,85
Utah,84
Alaska,84
West Virginia,81
Washington,81
Arizona,79
Maine,78
New Mexico,78
North Carolina,77
Delaware,76
Hawaii,76
Virginia,76
Wisconsin,75
Missouri,75
Georgia,75
Texas,75
Pennsylvania,75
Nebraska,74
California,74
North Dakota,73
Kansas,72
Mississippi,72
Nevada,72
South Carolina,72
South Dakota,72
Florida,71
New Hampshire,71
New Jersey,71
Louisiana,70
Maryland,70
Michigan,70
Indiana,69
Alabama,69
New York,69
Arkansas,69
Oklahoma,68
Minnesota,68
Connecticut,68
Iowa,68
Massachusetts,67
Kentucky,67
Illinois,66
Tennessee,66
Ohio,66
Rhode Island,65
District of Columbia,62
Oregon,48
