Category: All categories

Region,jumping: (2012)
Montana,100
Utah,96
Idaho,93
Alaska,90
Vermont,87
Arizona,87
Wyoming,86
Colorado,86
Maine,84
West Virginia,84
South Dakota,83
Virginia,83
Kansas,81
New Hampshire,81
Michigan,80
New Mexico,80
Washington,79
Texas,79
New Jersey,79
Arkansas,79
Rhode Island,78
North Carolina,78
Oklahoma,78
South Carolina,77
North Dakota,76
Pennsylvania,76
Mississippi,76
Oregon,76
Delaware,75
Missouri,75
Hawaii,75
Nevada,75
Alabama,74
Georgia,74
Iowa,73
Florida,73
Massachusetts,73
New York,72
Wisconsin,72
Louisiana,72
Ohio,71
Illinois,70
Kentucky,69
Minnesota,69
Nebraska,68
California,68
Connecticut,68
Maryland,67
Tennessee,67
Indiana,64
District of Columbia,61
