Category: All categories

Region,jumping: (2004)
Wyoming,100
Montana,83
Arkansas,74
North Dakota,70
Maine,69
Alaska,64
Idaho,63
Vermont,62
Mississippi,60
New Mexico,59
New Hampshire,59
Oklahoma,56
Colorado,55
New Jersey,54
Oregon,54
Iowa,53
Wisconsin,51
West Virginia,50
Rhode Island,50
Washington,50
Michigan,49
Tennessee,49
Arizona,49
Ohio,49
Georgia,48
Alabama,47
Kansas,47
Missouri,46
Louisiana,45
Illinois,45
North Carolina,44
Indiana,44
Pennsylvania,44
South Carolina,44
Nevada,43
Hawaii,43
California,43
Utah,43
Virginia,43
Texas,43
Connecticut,42
Nebraska,41
Massachusetts,41
Florida,40
New York,39
Kentucky,38
Minnesota,38
South Dakota,37
Maryland,37
District of Columbia,31
Delaware,28
