Category: All categories

Region,kill myself: (2013)
South Dakota,100
Maine,81
Montana,74
New Hampshire,72
Rhode Island,62
Delaware,62
North Dakota,60
New Jersey,59
Nevada,58
Kentucky,58
Pennsylvania,57
Michigan,57
West Virginia,57
Tennessee,57
Indiana,56
Ohio,56
Utah,56
Colorado,55
New Mexico,55
Louisiana,55
Kansas,54
Arizona,53
Connecticut,53
Maryland,53
Massachusetts,53
Oklahoma,51
Alaska,51
Virginia,49
Arkansas,49
Mississippi,49
California,48
Minnesota,48
Illinois,47
Washington,46
Florida,46
Wisconsin,46
Iowa,46
New York,45
Texas,44
North Carolina,42
Alabama,42
Georgia,41
Missouri,41
Hawaii,41
Nebraska,39
Idaho,38
South Carolina,36
Oregon,36
District of Columbia,33
Vermont,
Wyoming,
