Category: All categories

Region,kill myself: (2015)
Idaho,100
Rhode Island,82
Alaska,82
Ohio,80
West Virginia,79
New Mexico,76
Nevada,76
Arizona,70
Michigan,70
Oklahoma,69
New Hampshire,68
Connecticut,67
Colorado,67
Alabama,67
Wisconsin,66
Iowa,66
Montana,66
Maine,66
Missouri,66
Indiana,65
North Dakota,65
Pennsylvania,64
Florida,62
Nebraska,62
South Carolina,61
Washington,61
Minnesota,60
Utah,60
Massachusetts,60
Louisiana,58
New Jersey,57
Kentucky,57
Illinois,56
New York,56
Mississippi,56
Georgia,56
North Carolina,55
Kansas,55
District of Columbia,54
California,54
Arkansas,53
Texas,51
Tennessee,49
Maryland,45
South Dakota,45
Virginia,42
Delaware,42
Hawaii,42
Oregon,41
Vermont,
Wyoming,
