Category: All categories

Region,kill myself: (2011)
Maine,100
New Hampshire,90
Montana,83
Idaho,77
Louisiana,76
Connecticut,76
Kentucky,75
Iowa,74
Michigan,74
Virginia,74
Pennsylvania,73
Nevada,72
New Mexico,71
Kansas,68
Massachusetts,67
New Jersey,65
Tennessee,64
Mississippi,63
South Carolina,62
Maryland,60
Illinois,60
Oregon,59
New York,58
Nebraska,58
Arizona,58
Texas,58
Indiana,57
Hawaii,57
North Carolina,57
Georgia,56
Ohio,56
California,55
Washington,54
Utah,53
Alabama,52
Oklahoma,50
Alaska,50
Wisconsin,50
Florida,49
Arkansas,48
Missouri,48
Colorado,47
Rhode Island,47
West Virginia,45
North Dakota,38
Minnesota,37
South Dakota,35
Delaware,35
District of Columbia,33
Wyoming,
Vermont,
