Category: All categories

Region,kill myself: (2016)
New Hampshire,100
Idaho,100
West Virginia,98
Rhode Island,97
Utah,95
Oklahoma,93
Maine,91
Iowa,89
New Mexico,87
Ohio,87
Indiana,87
Montana,86
Louisiana,86
Arkansas,83
Michigan,83
Missouri,82
Kentucky,81
South Dakota,81
Nevada,80
Pennsylvania,79
Arizona,78
Alaska,77
Connecticut,76
Oregon,76
New Jersey,76
Massachusetts,74
Colorado,74
Wisconsin,73
Illinois,72
Nebraska,71
South Carolina,71
Washington,71
Tennessee,70
New York,69
Maryland,69
Alabama,68
Minnesota,68
Kansas,68
Virginia,68
North Carolina,67
Texas,66
Hawaii,66
California,64
Georgia,63
Mississippi,62
Florida,59
District of Columbia,58
Delaware,54
North Dakota,52
Wyoming,
Vermont,
