Category: All categories

Region,kill myself: (2017)
Alaska,100
Montana,100
Iowa,98
Maine,91
Utah,89
Idaho,88
West Virginia,88
South Dakota,88
Indiana,86
Nevada,85
Arkansas,84
Kentucky,83
Delaware,81
Colorado,81
Missouri,80
New Mexico,80
Arizona,79
Rhode Island,78
Oklahoma,77
Michigan,77
Ohio,77
Oregon,76
Pennsylvania,76
Hawaii,75
Minnesota,75
Washington,75
Nebraska,75
Kansas,73
Massachusetts,72
Connecticut,72
Virginia,72
Wisconsin,71
Maryland,70
New Hampshire,70
Louisiana,69
Illinois,69
Tennessee,67
South Carolina,66
North Carolina,66
New Jersey,65
Alabama,64
California,62
New York,62
Georgia,60
District of Columbia,60
North Dakota,60
Mississippi,60
Florida,60
Texas,59
Vermont,
Wyoming,
