Category: All categories

Region,kill myself: (2008)
North Dakota,100
Delaware,96
Montana,94
Wisconsin,91
Hawaii,87
Pennsylvania,86
Alaska,80
Maine,74
Alabama,74
Nebraska,72
Arkansas,72
Tennessee,71
Ohio,70
Oklahoma,68
New Hampshire,68
South Dakota,64
New York,62
Massachusetts,56
Utah,54
Washington,54
North Carolina,51
Connecticut,50
Maryland,49
Florida,49
Mississippi,49
New Jersey,47
Kentucky,47
Texas,46
Michigan,44
Nevada,44
Rhode Island,42
District of Columbia,42
Missouri,42
Arizona,39
Minnesota,37
Georgia,36
South Carolina,35
Virginia,35
California,34
Illinois,34
Colorado,33
Kansas,33
Oregon,29
Indiana,24
Louisiana,17
Vermont,
Wyoming,
New Mexico,
Idaho,
Iowa,
West Virginia,
