Category: All categories

Region,kill myself: (2019)
West Virginia,100
South Dakota,91
Maine,88
Oregon,82
Kansas,80
Alaska,78
Montana,78
Colorado,78
Utah,77
Kentucky,76
Indiana,76
Arkansas,76
Missouri,75
Ohio,74
Nevada,72
Mississippi,72
Iowa,72
New Mexico,72
New Hampshire,71
Wisconsin,71
Washington,71
Nebraska,70
Michigan,69
Oklahoma,69
Idaho,67
Arizona,67
Pennsylvania,66
Tennessee,66
Alabama,65
North Dakota,64
Massachusetts,64
Minnesota,63
Louisiana,63
Illinois,62
Virginia,62
Connecticut,61
Georgia,60
North Carolina,59
New Jersey,58
New York,57
Texas,56
California,55
Maryland,55
Rhode Island,53
District of Columbia,53
Hawaii,52
Delaware,51
South Carolina,49
Florida,47
Vermont,
Wyoming,
