Category: All categories

Region,Dependent: (2004)
Delaware,100
New Hampshire,97
Oklahoma,82
Arkansas,79
Virginia,74
North Dakota,73
Alabama,72
Kentucky,72
West Virginia,70
Kansas,69
Illinois,64
Maryland,61
District of Columbia,61
Minnesota,61
New Mexico,60
South Dakota,59
Louisiana,59
Michigan,58
Wisconsin,57
Connecticut,57
Massachusetts,56
Pennsylvania,56
California,54
Indiana,54
New York,54
Texas,54
New Jersey,53
Maine,52
Colorado,52
Washington,51
Florida,50
Georgia,49
Missouri,49
Arizona,48
Utah,48
South Carolina,48
Oregon,46
North Carolina,46
Nevada,45
Idaho,45
Nebraska,43
Ohio,43
Iowa,42
Tennessee,41
Rhode Island,38
Hawaii,37
Vermont,26
Montana,24
Alaska,22
Mississippi,
Wyoming,
