Category: All categories

Region,Dependent: (2012)
Virginia,100
Alabama,95
Hawaii,92
North Dakota,92
Maryland,91
Mississippi,91
West Virginia,91
South Dakota,90
Arkansas,90
South Carolina,90
Kentucky,87
Indiana,87
New Mexico,86
Delaware,85
Iowa,85
Wyoming,84
Connecticut,83
Oklahoma,82
Idaho,79
Nebraska,79
Pennsylvania,79
Kansas,78
Rhode Island,77
Montana,77
Florida,76
Tennessee,76
Maine,76
Ohio,76
Arizona,76
Georgia,74
Louisiana,74
Wisconsin,74
Utah,72
New Jersey,72
Texas,72
Missouri,71
Nevada,71
Oregon,71
Alaska,70
North Carolina,70
California,69
New Hampshire,68
Vermont,67
Michigan,67
Illinois,66
Minnesota,66
New York,65
Massachusetts,64
Colorado,64
District of Columbia,62
Washington,58
