Category: All categories

Region,Dependent: (2015)
South Dakota,100
Maryland,97
Arkansas,93
Mississippi,92
Indiana,91
Alabama,89
West Virginia,89
Delaware,88
North Carolina,87
Connecticut,86
Arizona,85
Pennsylvania,85
Ohio,84
New Mexico,84
Iowa,83
Vermont,83
Louisiana,82
Hawaii,81
Idaho,81
Massachusetts,80
California,80
North Dakota,79
Texas,78
Nebraska,78
Michigan,78
New Jersey,78
New Hampshire,77
Illinois,77
Wyoming,76
Missouri,76
Georgia,75
Florida,75
Rhode Island,74
Maine,74
Kentucky,73
Utah,72
South Carolina,72
Minnesota,70
Kansas,70
Oklahoma,70
Montana,69
Colorado,69
New York,68
Wisconsin,67
Nevada,67
Tennessee,65
Virginia,63
Alaska,60
Washington,58
District of Columbia,58
Oregon,48
