Category: All categories

Region,Dependent: (2010)
Iowa,100
Maryland,98
Nebraska,96
Indiana,91
North Dakota,91
Delaware,89
District of Columbia,89
South Carolina,89
South Dakota,88
Alabama,88
West Virginia,87
Arkansas,86
Louisiana,84
Mississippi,83
Kentucky,82
New Mexico,82
Kansas,81
Connecticut,79
Michigan,79
Montana,78
Wisconsin,78
North Carolina,78
Minnesota,77
Pennsylvania,76
Missouri,76
Arizona,76
Ohio,74
Oklahoma,74
Georgia,74
Idaho,73
Alaska,73
Rhode Island,72
Oregon,72
Tennessee,70
Illinois,70
Colorado,68
New Hampshire,68
Massachusetts,66
New Jersey,66
Hawaii,66
Maine,66
Utah,65
New York,63
Florida,60
Texas,59
Washington,59
Nevada,52
Wyoming,51
California,46
Vermont,30
Virginia,30
