Category: All categories

Region,Dependent: (2021)
Virginia,100
North Dakota,95
Maryland,95
West Virginia,88
North Carolina,82
Alabama,81
Hawaii,80
Texas,80
Mississippi,80
Georgia,79
Iowa,79
South Carolina,78
Arizona,78
District of Columbia,77
California,77
Florida,77
Rhode Island,76
Louisiana,76
Indiana,76
Illinois,76
Vermont,75
Missouri,74
Arkansas,74
Michigan,73
Idaho,72
Tennessee,72
Kentucky,71
New Mexico,71
Ohio,71
South Dakota,70
Oklahoma,70
Kansas,70
Massachusetts,69
Nebraska,69
Minnesota,68
Alaska,68
Delaware,68
New Jersey,67
New Hampshire,67
Connecticut,66
Washington,65
Wisconsin,64
Pennsylvania,64
Colorado,63
Montana,62
New York,62
Utah,61
Wyoming,61
Maine,59
Nevada,56
Oregon,56
