Category: All categories

Region,Dependent: (2014)
Maryland,100
Delaware,99
South Dakota,97
Mississippi,91
Idaho,90
Alabama,90
Iowa,89
New Mexico,88
Arkansas,88
North Carolina,88
Rhode Island,88
North Dakota,86
Connecticut,86
Indiana,85
Pennsylvania,81
Ohio,81
Texas,80
South Carolina,80
Vermont,80
Massachusetts,80
California,78
Georgia,77
Florida,76
Nebraska,75
New Hampshire,75
Maine,75
West Virginia,75
Utah,74
Hawaii,74
Michigan,73
District of Columbia,73
Louisiana,73
Alaska,73
Kentucky,73
Illinois,73
Arizona,71
New Jersey,70
Montana,70
Missouri,70
Oklahoma,70
Wisconsin,69
Wyoming,68
Kansas,68
New York,68
Minnesota,67
Tennessee,66
Virginia,66
Nevada,62
Washington,61
Colorado,61
Oregon,40
