Category: All categories

Region,Dependent: (2009)
Iowa,100
Maryland,97
Wyoming,95
Indiana,91
West Virginia,90
Rhode Island,89
Oklahoma,87
Nebraska,86
Alabama,85
North Carolina,84
Connecticut,83
Mississippi,83
Kansas,82
District of Columbia,82
Massachusetts,82
Illinois,82
Minnesota,81
Missouri,80
Wisconsin,80
Ohio,79
Pennsylvania,79
Kentucky,78
Georgia,78
Arizona,77
Tennessee,76
Alaska,76
South Carolina,76
Louisiana,76
Hawaii,75
Arkansas,75
Colorado,74
South Dakota,74
New Mexico,73
Michigan,72
Delaware,72
North Dakota,72
Utah,72
Florida,70
Maine,69
New Jersey,69
Idaho,66
New Hampshire,65
Vermont,64
Texas,64
Montana,64
Oregon,63
New York,63
Washington,60
California,56
Nevada,53
Virginia,42
