Category: All categories

Region,Dependent: (2007)
West Virginia,100
Maryland,97
Iowa,97
Delaware,92
North Dakota,84
District of Columbia,83
Indiana,82
Virginia,81
Connecticut,79
South Carolina,79
Massachusetts,75
Vermont,74
South Dakota,74
Kentucky,74
Hawaii,73
Louisiana,72
Texas,72
North Carolina,70
Alabama,70
Missouri,69
Oklahoma,69
Georgia,69
New Mexico,69
Illinois,67
Michigan,67
Rhode Island,67
Wisconsin,66
Montana,65
Colorado,65
Mississippi,65
Tennessee,65
Pennsylvania,65
Minnesota,64
New York,63
Nebraska,63
Arizona,63
Ohio,62
Utah,61
Florida,60
Arkansas,60
New Jersey,59
New Hampshire,59
California,58
Washington,54
Alaska,54
Idaho,53
Oregon,53
Kansas,52
Maine,47
Wyoming,41
Nevada,36
