Category: All categories

Region,hell: (2020)
West Virginia,100
Arkansas,96
Montana,92
Oklahoma,92
Kentucky,90
Alaska,90
Nebraska,90
Utah,89
Idaho,88
Kansas,88
Oregon,87
Mississippi,87
Wyoming,87
Michigan,87
North Carolina,86
Washington,85
Ohio,85
Colorado,85
Georgia,85
Alabama,84
Missouri,84
Indiana,84
Vermont,84
Iowa,84
Texas,83
Tennessee,83
Virginia,83
North Dakota,81
Pennsylvania,81
New Mexico,80
Illinois,79
Nevada,78
California,78
Minnesota,78
South Dakota,77
Maryland,77
Arizona,77
South Carolina,76
Wisconsin,75
New Hampshire,75
Louisiana,74
Maine,73
Massachusetts,72
New Jersey,72
Connecticut,71
New York,71
Delaware,70
Florida,68
Rhode Island,65
District of Columbia,60
Hawaii,58
