Category: All categories

Region,hell: (2016)
Oklahoma,100
Wyoming,99
West Virginia,97
Mississippi,96
Arkansas,93
Montana,92
Kentucky,92
Tennessee,91
Ohio,89
Alabama,89
Texas,88
Missouri,87
Kansas,87
Louisiana,87
Arizona,87
Alaska,87
New Mexico,86
Michigan,86
Wisconsin,85
Iowa,84
South Carolina,84
Idaho,84
Minnesota,84
Utah,84
Indiana,83
Georgia,83
Oregon,82
North Carolina,82
Virginia,82
North Dakota,82
South Dakota,80
Nebraska,79
Colorado,79
Illinois,78
Washington,78
Vermont,77
California,77
Pennsylvania,76
Nevada,76
Maine,76
District of Columbia,76
Maryland,75
Massachusetts,75
New York,74
Delaware,72
Florida,71
Rhode Island,71
Connecticut,69
New Jersey,68
New Hampshire,67
Hawaii,62
