Category: All categories

Region,hell: (2018)
Kentucky,100
Mississippi,94
Arkansas,94
West Virginia,94
Alaska,91
Tennessee,90
Oklahoma,90
Pennsylvania,89
Alabama,89
Kansas,89
Wyoming,88
Montana,87
Ohio,87
Missouri,86
Nebraska,85
South Carolina,85
Indiana,85
Arizona,85
North Carolina,84
Michigan,84
New Mexico,83
Utah,81
Texas,81
Illinois,81
Louisiana,80
Colorado,80
Oregon,80
Washington,79
North Dakota,79
Iowa,79
Georgia,79
Nevada,78
Idaho,78
South Dakota,78
Wisconsin,77
Virginia,76
Minnesota,76
Maryland,74
Vermont,73
Maine,73
California,73
Connecticut,72
New York,72
New Jersey,71
Massachusetts,70
Delaware,70
New Hampshire,69
Florida,67
Rhode Island,66
District of Columbia,62
Hawaii,58
