Category: All categories

Region,exgirlfriend: (2007)
Wyoming,
Kentucky,100
Tennessee,95
Alaska,
West Virginia,83
Kansas,79
New Hampshire,78
Alabama,76
Washington,70
Missouri,69
North Dakota,
North Carolina,68
Oregon,68
Indiana,66
Ohio,65
Iowa,63
Nebraska,63
Michigan,63
Montana,63
Florida,60
Virginia,60
Colorado,55
Illinois,55
Texas,55
Vermont,53
New Jersey,53
Massachusetts,53
Maryland,51
Utah,51
Connecticut,50
Wisconsin,48
Arizona,47
Pennsylvania,47
South Carolina,46
Oklahoma,46
Louisiana,44
New York,44
Georgia,44
Minnesota,44
District of Columbia,41
California,39
Idaho,
New Mexico,29
Maine,27
Rhode Island,
Nevada,23
Mississippi,22
Hawaii,20
Arkansas,
Delaware,
South Dakota,
